,title,published_date,views,likes,comments,month
197,José Aldo me CIERRA el HOCICO!!!,2021-12-05,140361,8304,887,Dec
198,La INVOLUCIÓN del HOMOIDIOT4,2021-12-05,212995,17049,1212,Dec
199,El TATUAJE no le FUNCIONO a Kevin Lee!!!,2021-12-04,102426,5642,515,Dec
200,El ROBÓN de ORO para MESSI???,2021-12-03,137608,11056,2068,Dec
201,PIQUÉ me da la RAZÓN,2021-12-02,94602,8102,699,Dec
202,Islam Makhachev vs Beneil Dariush GUERRA DE PISO!,2021-12-01,107590,5601,655,Dec
203,El TRISTE FINAL del HOMBRE que sometió a BROCK LESNAR,2021-12-01,141644,6233,448,Dec
204,CONOR McGREGOR en 85kg,2021-11-30,557262,16198,1007,Nov
205,La BRONCA de Cristiano Ronaldo a sus COMPAÑEROS!!!,2021-11-29,306173,20065,1539,Nov
206,Colby Covington RETA a KHAMZAT CHIMAEV!,2021-11-28,148433,7968,784,Nov
207,KAMARU USMAN muele a DUSTIN POIRIER!!!,2021-11-27,186331,8546,690,Nov
208,Entrena como el CANELO y no dejes que le pase esto a tus HIJOS!,2021-11-26,153767,11393,672,Nov
209,Lebron James hace un CRISTIANO RONALDO!,2021-11-26,97043,5847,443,Nov
210,Jake Paul NO quiere ANTIDOPING!!!,2021-11-25,119896,6452,428,Nov
211,Cómo VENCER a esos RUSOS LOCOS???,2021-11-24,191043,9855,1090,Nov
212,De AMIGOS a ENEMIGOS!!!,2021-11-24,106912,6060,429,Nov
213,KHAMZAT CHIMAEV HUMILLA a Jack Hermansson!!!,2021-11-23,153161,9718,930,Nov
214,El ODI0 a PIQUÉ al cambiar BARCELONA por MADRID,2021-11-22,176790,9624,890,Nov
215,"Conor McGregor ""EL TALENTO NO EXISTE""",2021-11-21,277233,18959,1651,Nov
216,El CANELO vs GIGANTE!!!,2021-11-20,205049,13218,1882,Nov
217,La TESTOSTERONA ALTA te hace un MAL PADRE!!!,2021-11-19,93924,10034,894,Nov
218,"El nuevo BAKI ""NATURAL""",2021-11-19,143277,10980,1009,Nov
219,El mejor BOXEADOR de la UFC,2021-11-18,144945,7935,1214,Nov
220,Khabib tiene que parar de HABLAR M1ERD4 💩,2021-11-17,181747,10526,1442,Nov
221,"XAVI, DANI ALVES y la cultura del VAGO MEDIOCRE!",2021-11-16,155994,10229,1137,Nov
222,Conor McGregor quiere el BMF de MASVIDAL???,2021-11-15,129580,7107,711,Nov
223,La PELEA del AÑO!!!,2021-11-14,276200,14381,1729,Nov
224,Kali Muscle CASI se nos VA TAMBIÉN!!!,2021-11-13,646672,17467,1425,Nov
225,La PELEA más CREATIVA del año!!! Yair Rodriguez VS Max Holloway,2021-11-12,139440,6412,461,Nov
226,INCREÍBLE!!! La pierna de CONOR McGREGOR parece estar al 100%???,2021-11-11,216278,13047,1027,Nov
227,CONOR McGREGOR quiere a Michael Chandler para su REGRESO!,2021-11-11,158248,8316,1146,Nov
228,El CANELO destruyó a Caleb Plant! (RESUBIDO),2021-11-10,123918,6625,495,Nov
229,RIP Shawn Rhoden,2021-11-10,137851,8637,612,Nov
230,BRUTAL K0 de CHITO PERO....!,2021-11-09,168175,9410,698,Nov
231,Brutal DEBUT de ALEX PEREIRA!!! Tiembla IZZY?,2021-11-08,131859,7045,809,Nov
232,SE LOS DIJE!!! Pura V10L3NC14 entre Justin Gaethje y Michael Chandler!,2021-11-08,202371,10818,994,Nov
233,"CANELO, CANELO, CANELO!!!!!",2021-11-07,164932,9278,622,Nov
234,A las MUJERES no le gustan FUERTES!!!,2021-11-06,309281,21782,2353,Nov
235,UFC 268 la competencia del CANELO,2021-11-05,119841,7038,921,Nov
236,Caleb Plant NO será un PASTEL para el CANELO,2021-11-05,133420,9232,1198,Nov
237,Khamzat Chimaev APLASTA a Nate Díaz,2021-11-04,188571,8000,913,Nov
238,Por qué Khamzat Chimaev es un ANIMAL DIFERENTE?,2021-11-03,186137,9853,622,Nov
239,Vinicius NO tiene GOL!!! 😅,2021-11-03,88262,6654,631,Nov
240,Llegó cuando DANA tenía pelos!!! CAMPEÓN a los 42!!!,2021-11-02,105003,6224,440,Nov
241,El KHABIB 2.0 es REAL!!!,2021-11-01,172635,9935,1104,Nov
242,KHAMZAT CHIMAEV es un TALENTO GENERACIONAL,2021-10-31,216359,12325,1275,Oct
243,LOCURA!!!! Campeón a los 42! Y Khamzat Chimaev es REAL!!!,2021-10-30,179686,5915,392,Oct
244,Ya viene la DERROTA de JAKE PAUL!!!,2021-10-30,236185,10082,783,Oct
245,PREDICCIONES del UFC 267 en VIVO!,2021-10-29,52339,2186,137,Oct
246,A Paulo Costa lo MUELEN en SEMIPESADOS!,2021-10-29,129107,6312,658,Oct
247,💉FERGUSON acusa a CONOR McGREGOR de usar HGH💉,2021-10-28,233031,10009,695,Oct
248,CRISTIANO RONALDO es un MAL PERDEDOR!?,2021-10-27,129512,9273,1322,Oct
249,El LINDO vs el GRANDE!?,2021-10-26,689346,23534,1611,Oct
250,Mike Tyson VS Logan Paul! Que no se repita un HOLYFIELD!,2021-10-26,176076,9627,1189,Oct
251,PAULO COSTA sigue LLORANDO!!! Ahora estaba LESIONADO!,2021-10-25,130286,7398,749,Oct
252,Ni con TRAMPA COSTA pudo con VETTORI!!!,2021-10-24,267708,12175,926,Oct
253,ENORME Costa!!! Pero Vettori no es Hall!!!!!!!! GRAN COMBATE!!!!,2021-10-23,125263,6165,591,Oct
254,Paulo Costa va a PERDER???,2021-10-23,120808,6061,809,Oct
255,Brandon explica la DECADENCIA de McGREGOR!,2021-10-22,175922,12046,689,Oct
256,Paulo Costa GORDO y poco PROFESIONAL!,2021-10-21,221301,10731,1047,Oct
257,"El CANELO le responde a USMAN ""No sé quién es"" 😅",2021-10-20,361626,15473,1532,Oct
258,MARITHEA y el mérito vs FEMINISMO,2021-10-20,64722,7487,928,Oct
259,Ciclista TR4NS rompe récords y dice NO tener VENTAJAS,2021-10-18,124123,10230,1333,Oct
260,Cuándo le pasó esto a YOEL ROMERO???,2021-10-17,441587,10426,683,Oct
261,Francis Ngannou gana 2.7 MILLONES y pide PRESTADO?,2021-10-17,122803,6316,1037,Oct
262,Jon Jones EXPULSADO del GYM por su ENTRENADOR,2021-10-16,133086,7469,687,Oct
263,V10L3NC1A asegurada!!! Justin Gaethje VS Michael Chandler,2021-10-15,125680,7421,770,Oct
264,El día que MASVIDAL le enseñó del RESPETO en la CALLE a Leon Edwards,2021-10-14,291759,10451,736,Oct
265,ZABIT vs ISLAM MAKHACHEV Pelea Real en Combat Sambo!!!,2021-10-14,91785,4732,359,Oct
266,Gustavo Balart el PEQUEÑO GIGANTE de 1.50M,2021-10-13,173130,8224,787,Oct
267,El GIGANTE egipcio lo vuelva a HACER!!!,2021-10-12,129662,6477,737,Oct
268,RESPUESTA a Ibai y mi problema con el MENOR ESFUERZO!,2021-10-11,219705,19498,2266,Oct
269,BESTIAL FURY!!! WILDER TODO CORAZÓN!!!,2021-10-10,214729,11531,1154,Oct
270,FURY lo vuelve a HACER!!!,2021-10-10,105916,6108,672,Oct
271,Los 🥚🥚s de Dan Hooker VS Islam Makhachev!!!,2021-10-09,144241,7373,732,Oct
272,Erling Haaland no seas un MEDIOCRE +!,2021-10-09,144939,12200,971,Oct
273,BISPING si estaba CLÍNICAMENTE CIEGO y a LLORAR a MATERNIDAD,2021-10-08,93753,5466,343,Oct
274,RIP George Peterson justo antes del MR OLIMPIA!!!,2021-10-07,299886,15171,1053,Oct
275,RIP Justin Thornton peleador de BKFC y Dana White saca PROVECHO,2021-10-07,100748,6004,551,Oct
276,TYLER HERRO siempre te van a CRITICAR,2021-10-06,80222,5535,396,Oct
277,JORGE TABET Qué le FALTÓ para GANAR y llegar al OLIMPIA?,2021-10-06,180624,9430,567,Oct
278,La NOVIA cubana de MARADONA (16 Años),2021-10-05,101882,8383,1638,Oct
279,USMAN es el #1 y a LLORAR a MATERNIDAD!,2021-10-04,129216,7266,750,Oct
280,El ARTE hecho PELEADOR Zabit Magomedsharipov,2021-10-03,133908,7801,490,Oct
281,Conor WOLVERINE McGREGOR y la PIERNA de TITANIO,2021-10-02,217831,10334,932,Oct
